param;value
filename;./inputData/BrasilMG30n.car
base_seed;1
nRuns;51
iterations;150
antsN;50
stagnation;30
favorites;20
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.2
betaCars;1.2
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;1
q0Start;0.2
q0End;0.9
eliteKAnts;7
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=3,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=3,run9=3,run10=3,run11=4,run12=4,run13=4,run14=3,run15=4,run16=4,run17=4,run18=3,run19=3,run20=4,run21=4,run22=4,run23=4,run24=4,run25=4,run26=4,run27=4,run28=3,run29=3,run30=4,run31=4,run32=3,run33=4,run34=3,run35=3,run36=4,run37=3,run38=4,run39=4,run40=3,run41=4,run42=4,run43=4,run44=4,run45=4,run46=3,run47=4,run48=4,run49=4,run50=4
lkCalls;run0=3,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=3,run9=3,run10=3,run11=4,run12=4,run13=4,run14=3,run15=4,run16=4,run17=4,run18=3,run19=3,run20=4,run21=4,run22=4,run23=4,run24=4,run25=4,run26=4,run27=4,run28=3,run29=3,run30=4,run31=4,run32=3,run33=4,run34=3,run35=3,run36=4,run37=3,run38=4,run39=4,run40=3,run41=4,run42=4,run43=4,run44=4,run45=4,run46=3,run47=4,run48=4,run49=4,run50=4
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=3,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=3,run9=3,run10=3,run11=4,run12=4,run13=4,run14=3,run15=4,run16=4,run17=4,run18=3,run19=3,run20=4,run21=4,run22=4,run23=4,run24=4,run25=4,run26=4,run27=4,run28=3,run29=3,run30=4,run31=4,run32=3,run33=4,run34=3,run35=3,run36=4,run37=3,run38=4,run39=4,run40=3,run41=4,run42=4,run43=4,run44=4,run45=4,run46=3,run47=4,run48=4,run49=4,run50=4
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=70.12%,run1=63.82%,run2=65.74%,run3=64.04%,run4=62.99%,run5=66.54%,run6=66.03%,run7=65.69%,run8=67.41%,run9=68.87%,run10=68.52%,run11=68.25%,run12=64.64%,run13=69.32%,run14=68.18%,run15=66.70%,run16=68.54%,run17=65.09%,run18=65.80%,run19=71.47%,run20=66.90%,run21=68.23%,run22=66.80%,run23=68.78%,run24=73.11%,run25=70.77%,run26=68.19%,run27=65.85%,run28=68.56%,run29=64.53%,run30=66.32%,run31=68.29%,run32=67.07%,run33=65.03%,run34=67.51%,run35=64.06%,run36=64.24%,run37=65.56%,run38=66.44%,run39=68.98%,run40=68.24%,run41=62.71%,run42=65.35%,run43=66.01%,run44=68.66%,run45=68.03%,run46=66.18%,run47=66.10%,run48=64.93%,run49=67.67%,run50=64.12%
cacheReasHitRate;run0=84.56%,run1=77.64%,run2=82.30%,run3=79.91%,run4=79.58%,run5=84.09%,run6=81.70%,run7=81.70%,run8=82.57%,run9=82.08%,run10=83.33%,run11=83.03%,run12=80.32%,run13=85.31%,run14=83.28%,run15=83.18%,run16=84.47%,run17=79.28%,run18=82.32%,run19=86.37%,run20=82.77%,run21=84.14%,run22=82.49%,run23=84.10%,run24=85.56%,run25=85.07%,run26=84.75%,run27=81.80%,run28=83.90%,run29=80.73%,run30=83.59%,run31=83.17%,run32=82.49%,run33=81.16%,run34=82.77%,run35=80.09%,run36=78.97%,run37=81.08%,run38=82.32%,run39=84.59%,run40=83.34%,run41=79.12%,run42=81.61%,run43=81.63%,run44=85.08%,run45=84.36%,run46=80.91%,run47=81.95%,run48=80.81%,run49=82.97%,run50=80.38%
lkSuccessRate;run0=0.00% (cache:70.1%),run1=0.00% (cache:63.8%),run2=0.00% (cache:65.7%),run3=0.00% (cache:64.0%),run4=0.00% (cache:63.0%),run5=0.00% (cache:66.5%),run6=0.00% (cache:66.0%),run7=0.00% (cache:65.7%),run8=0.00% (cache:67.4%),run9=0.00% (cache:68.9%),run10=0.00% (cache:68.5%),run11=0.00% (cache:68.3%),run12=0.00% (cache:64.6%),run13=0.00% (cache:69.3%),run14=0.00% (cache:68.2%),run15=0.00% (cache:66.7%),run16=0.00% (cache:68.5%),run17=0.00% (cache:65.1%),run18=0.00% (cache:65.8%),run19=0.00% (cache:71.5%),run20=0.00% (cache:66.9%),run21=0.00% (cache:68.2%),run22=0.00% (cache:66.8%),run23=0.00% (cache:68.8%),run24=0.00% (cache:73.1%),run25=0.00% (cache:70.8%),run26=0.00% (cache:68.2%),run27=0.00% (cache:65.9%),run28=0.00% (cache:68.6%),run29=0.00% (cache:64.5%),run30=0.00% (cache:66.3%),run31=0.00% (cache:68.3%),run32=0.00% (cache:67.1%),run33=0.00% (cache:65.0%),run34=0.00% (cache:67.5%),run35=0.00% (cache:64.1%),run36=0.00% (cache:64.2%),run37=0.00% (cache:65.6%),run38=0.00% (cache:66.4%),run39=0.00% (cache:69.0%),run40=0.00% (cache:68.2%),run41=0.00% (cache:62.7%),run42=0.00% (cache:65.3%),run43=0.00% (cache:66.0%),run44=0.00% (cache:68.7%),run45=0.00% (cache:68.0%),run46=0.00% (cache:66.2%),run47=0.00% (cache:66.1%),run48=0.00% (cache:64.9%),run49=0.00% (cache:67.7%),run50=0.00% (cache:64.1%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
88;11022.1;8859.5;12175.5;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
89;11147.2;8951.3;12285.9;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
90;11276.0;9043.2;12407.9;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
91;11399.7;9135.5;12549.5;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
92;11524.9;9227.4;12657.0;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
93;11655.2;9319.1;12789.6;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
94;11787.3;9411.2;12900.1;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
95;11938.3;9525.9;13055.2;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
96;12092.0;9640.5;13200.2;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
97;12242.9;9754.3;13348.0;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
98;12395.2;9868.6;13486.7;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
99;12549.7;9983.6;13675.4;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
100;12699.9;10107.8;13874.4;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
101;12850.7;10230.2;14052.8;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
102;13008.8;10344.6;14226.8;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
103;13162.4;10459.2;14408.8;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
104;13317.4;10573.8;14592.3;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
105;13475.8;10688.0;14765.9;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
106;13634.0;10803.3;14929.1;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
107;13791.7;10918.9;15089.6;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
108;13954.8;11034.0;15276.6;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
109;14120.5;11149.5;15471.1;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
110;14284.7;11350.1;15660.4;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
111;14454.0;11477.9;15830.5;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
112;14632.7;11593.4;15980.8;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
113;14813.9;11790.6;16155.3;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
114;14987.1;11993.3;16330.2;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
115;15157.9;12163.5;16541.6;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
116;15330.2;12326.3;16856.7;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
117;15500.9;12448.2;17071.8;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
118;15667.5;12561.5;17255.9;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
119;15829.9;12675.2;17458.8;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
120;15987.7;12788.7;17721.0;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
121;16144.7;12902.9;17955.9;273.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;272.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;272.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;271.0;273.0;271.0;271.0;271.0;271.0;273.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;271.0;273.0;273.0;271.3
